Date,Symbol,Buy,Sell,Total,Net
2026-07-09,88TH,2120.0,24530.0,26650.0,-22410.0
2026-07-09,AAI,2268764.0,2591842.0,4860606.0,-323078.0
2026-07-09,AAV,1024972.0,3440284.0,4465256.0,-2415312.0
2026-07-09,ACC,0.0,33.0,33.0,-33.0
2026-07-09,ACE,9411.0,0.0,9411.0,9411.0
2026-07-09,ADB,93130.0,0.0,93130.0,93130.0
2026-07-09,ADD,0.0,17028.0,17028.0,-17028.0
2026-07-09,ADVANC,1195899250.0,939230114.28,2135129364.28,256669135.72000003
2026-07-09,ADVICE,3740475.0,2167800.0,5908275.0,1572675.0
2026-07-09,AEONTS,58273200.0,8551450.0,66824650.0,49721750.0
2026-07-09,AGE,0.0,509634.0,509634.0,-509634.0
2026-07-09,AH,4051310.0,11479690.0,15531000.0,-7428380.0
2026-07-09,AI,0.0,17.28,17.28,-17.28
2026-07-09,AIE,19888.0,5084.0,24972.0,14804.0
2026-07-09,AIT,299516.0,17218.0,316734.0,282298.0
2026-07-09,AJ,486638.0,737796.0,1224434.0,-251158.0
2026-07-09,AJA,520.0,26.0,546.0,494.0
2026-07-09,AKP,621.0,0.0,621.0,621.0
2026-07-09,AKR,0.0,1911.0,1911.0,-1911.0
2026-07-09,ALPHAX,25000.0,52.0,25052.0,24948.0
2026-07-09,ALT,7097943.0,553683.0,7651626.0,6544260.0
2026-07-09,AMANAH,0.0,76.0,76.0,-76.0
2026-07-09,AMARC,1033738.0,52142.0,1085880.0,981596.0
2026-07-09,AMATA,109193925.0,30364100.0,139558025.0,78829825.0
2026-07-09,ANI,0.0,1672.0,1672.0,-1672.0
2026-07-09,AOT,388459275.0,506932665.5,895391940.5,-118473390.5
2026-07-09,AP,12336870.0,7331770.0,19668640.0,5005100.0
2026-07-09,APO,0.0,1428.0,1428.0,-1428.0
2026-07-09,AQUA,0.0,1511.0,1511.0,-1511.0
2026-07-09,ARROW,0.0,580.0,580.0,-580.0
2026-07-09,AS,0.0,26910.0,26910.0,-26910.0
2026-07-09,ASAP,0.0,400.0,400.0,-400.0
2026-07-09,ASEFA,1016550.0,50910.0,1067460.0,965640.0
2026-07-09,ASIA,540.0,0.0,540.0,540.0
2026-07-09,ASIAN,977115.0,1450.0,978565.0,975665.0
2026-07-09,ASK,3580380.0,291040.0,3871420.0,3289340.0
2026-07-09,ASP,426798.0,180056.0,606854.0,246742.0
2026-07-09,ASTR,968.0,972.0,1940.0,-4.0
2026-07-09,ASW,1470.0,0.0,1470.0,1470.0
2026-07-09,ATLAS,231858.0,60480.0,292338.0,171378.0
2026-07-09,AU,54550.0,466.0,55016.0,54084.0
